L	L_Alt	L_Operon	L_Alt_Operon	SD	UTR	SD_Operon	UTR_Operon	Not assigned
				Rv3636	Rv3021c			Rv1330c
				Rv3642c	Rv3029c			Rv1344
				Rv3648c	Rv3034c			Rv1349
				Rv3668c	Rv3041c			Rv1353c
				Rv3669	Rv3044			Rv1355c
				Rv3672c	Rv3048c			Rv1356c
				Rv3676	Rv3049c			Rv1357c
				Rv3681c	Rv3051c			Rv1358
				Rv3686c	Rv3052c			Rv1359
				Rv3687c	Rv3053c			Rv1366
				Rv3704c	Rv3058c			Rv1369c
				Rv3709c	Rv3062			Rv1370c
				Rv3710	Rv3067			Rv1371
				Rv3716c	Rv3075c			Rv1372
				Rv3722c	Rv3080c			Rv1374c
				Rv3723	Rv3081			Rv1378c
				Rv3726	Rv3093c			Rv1385
				Rv3742c	Rv3098c			Rv1386
				Rv3746c	Rv3102c			Rv1387
				Rv3767c	Rv3104c			Rv1395
				Rv3788	Rv3106			Rv1402
				Rv3797	Rv3107c			Rv1407
				Rv3802c	Rv3109			Rv1408
				Rv3803c	Rv3125c			Rv1409
				Rv3804c	Rv3127			Rv1414
				Rv3810	Rv3132c			Rv1424c
				Rv3818	Rv3133c			Rv1426c
				Rv3827c	Rv3135			Rv1427c
				Rv3846	Rv3139			Rv1429
				Rv3847	Rv3160c			Rv1432
				Rv3848	Rv3165c			Rv1439c
				Rv3850	Rv3166c			Rv1441c
				Rv3852	Rv3171c			Rv1442
				Rv3864	Rv3176c			Rv1443c
				Rv3867	Rv3180c			Rv1450c
				Rv3872	Rv3182			Rv1452c
				Rv3874	Rv3195			Rv1456c
				Rv3875	Rv3196A			Rv1457c
				Rv3878	Rv3197A			Rv1459c
				Rv3879c	Rv3200c			Rv1460
				Rv3891c	Rv3203			Rv1461
				Rv3893c	Rv3204			Rv1467c
				Rv3898c	Rv3205c			Rv1471
				Rv3910	Rv3207c			Rv1473A
				Rv3918c	Rv3209			Rv1474c
				Rv3924c	Rv3211			Rv1475c
					Rv3213c			Rv1482c
					Rv3221c			Rv1485
					Rv3232c			Rv1494
					Rv3240c			Rv1495
					Rv3241c			Rv1496
					Rv3247c			Rv1499
					Rv3260c			Rv1500
					Rv3272			Rv1501
					Rv3284			Rv1503c
					Rv3292			Rv1504c
					Rv3301c			Rv1508c
					Rv3312c			Rv1510
					Rv3313c			Rv1514c
					Rv3315c			Rv1515c
					Rv3327			Rv1516c
					Rv3329			Rv1517
					Rv3338			Rv1523
					Rv3339c			Rv1524
					Rv3340			Rv1525
					Rv3346c			Rv1526c
					Rv3347c			Rv1527c
					Rv3364c			Rv1528c
					Rv3365c			Rv1530
					Rv3366			Rv1538c
					Rv3367			Rv1541c
					Rv3379c			Rv1542c
					Rv3382c			Rv1548c
					Rv3384c			Rv1549
					Rv3385c			Rv1550
					Rv3386			Rv1551
					Rv3400			Rv1553
					Rv3402c			Rv1554
					Rv3404c			Rv1555
					Rv3408			Rv1556
					Rv3411c			Rv1562c
					Rv3416			Rv1563c
					Rv3418c			Rv1569
					Rv3419c			Rv1570
					Rv3423c			Rv1571
					Rv3435c			Rv1572c
					Rv3444c			Rv1573
					Rv3455c			Rv1574
					Rv3462c			Rv1575
					Rv3484			Rv1579c
					Rv3486			Rv1580c
					Rv3506			Rv1581c
					Rv3516			Rv1582c
					Rv3520c			Rv1583c
					Rv3522			Rv1585c
					Rv3528c			Rv1586c
					Rv3536c			Rv1587c
					Rv3543c			Rv1620c
					Rv3550			Rv1621c
					Rv3557c			Rv1622c
					Rv3570c			Rv1635c
					Rv3574			Rv1637c
					Rv3581c			Rv1638
					Rv3582c			Rv1638A
					Rv3593			Rv1639c
					Rv3596c			Rv1640c
					Rv3597c			Rv1645c
					Rv3603c			Rv1650
					Rv3610c			Rv1651c
					Rv3611			Rv1652
					Rv3614c			Rv1653
					Rv3633			Rv1654
					Rv3644c			Rv1655
					Rv3646c			Rv1656
					Rv3655c			Rv1657
					Rv3660c			Rv1658
					Rv3673c			Rv1659
					Rv3674c			Rv1661
					Rv3677c			Rv1662
					Rv3679			Rv1663
					Rv3698			Rv1666c
					Rv3705c			Rv1667c
					Rv3708c			Rv1669
					Rv3720			Rv1671
					Rv3724A			Rv1673c
					Rv3724B			Rv1674c
					Rv3727			Rv1675c
					Rv3729			Rv1676
					Rv3735			Rv1677
					Rv3749c			Rv1681
					Rv3750c			Rv1685c
					Rv3753c			Rv1686c
					Rv3754			Rv1687c
					Rv3760			Rv1688
					Rv3764c			Rv1689
					Rv3765c			Rv1691
					Rv3766			Rv1694
					Rv3768			Rv1695
					Rv3771c			Rv1696
					Rv3774			Rv1701
					Rv3780			Rv1702c
					Rv3789			Rv1706A
					Rv3801c			Rv1706c
					Rv3805c			Rv1713
					Rv3811			Rv1714
					Rv3822			Rv1715
					Rv3825c			Rv1716
					Rv3840			Rv1717
					Rv3856c			Rv1718
					Rv3859c			Rv1719
					Rv3863			Rv1720c
					Rv3865			Rv1722
					Rv3868			Rv1723
					Rv3879A			Rv1724c
					Rv3883c			Rv1725c
					Rv3899c			Rv1726
					Rv3902c			Rv1727
					Rv3908			Rv1728c
					Rv3909			Rv1729c
					Rv3911			Rv1733c
					Rv3912			Rv1734c
					Rv3913			Rv1735c
					Rv3915			Rv1739c
					Rv3916c			Rv1742
					Rv3921c			Rv1744c
					Rv3923c			Rv1748
								Rv1749c
								Rv1750c
								Rv1751
								Rv1752
								Rv1754c
								Rv1756c
								Rv1757c
								Rv1758
								Rv1759c
								Rv1760
								Rv1761c
								Rv1763
								Rv1764
								Rv1773c
								Rv1774
								Rv1777
								Rv1778c
								Rv1779c
								Rv1781c
								Rv1785c
								Rv1786
								Rv1787
								Rv1788
								Rv1790
								Rv1799
								Rv1800
								Rv1801
								Rv1802
								Rv1803c
								Rv1805c
								Rv1809
								Rv1810
								Rv1817
								Rv1819c
								Rv1834
								Rv1835c
								Rv1840c
								Rv1849
								Rv1850
								Rv1851
								Rv1852
								Rv1853
								Rv1858
								Rv1859
								Rv1862
								Rv1864c
								Rv1865c
								Rv1866
								Rv1873
								Rv1878
								Rv1879
								Rv1889c
								Rv1890c
								Rv1895
								Rv1896c
								Rv1897c
								Rv1901
								Rv1902c
								Rv1912c
								Rv1913
								Rv1914c
								Rv1920
								Rv1921c
								Rv1922
								Rv1923
								Rv1928c
								Rv1929c
								Rv1930c
								Rv1933c
								Rv1934c
								Rv1935c
								Rv1937
								Rv1938
								Rv1939
								Rv1940
								Rv1944c
								Rv1946c
								Rv1948c
								Rv1949c
								Rv1950c
								Rv1951c
								Rv1954c
								Rv1958c
								Rv1961
								Rv1962c
								Rv1965
								Rv1966
								Rv1967
								Rv1968
								Rv1969
								Rv1970
								Rv1971
								Rv1972
								Rv1973
								Rv1974
								Rv1975
								Rv1985c
								Rv1989c
								Rv1990A
								Rv1990c
								Rv1995
								Rv2000
								Rv2001
								Rv2002
								Rv2006
								Rv2008c
								Rv2009
								Rv2011c
								Rv2012
								Rv2013
								Rv2014
								Rv2017
								Rv2020c
								Rv2023A
								Rv2025c
								Rv2026c
								Rv2033c
								Rv2034
								Rv2035
								Rv2036
								Rv2037c
								Rv2038c
								Rv2039c
								Rv2040c
								Rv2041c
								Rv2042c
								Rv2044c
								Rv2045c
								Rv2046
								Rv2047c
								Rv2051c
								Rv2052c
								Rv2055c
								Rv2056c
								Rv2057c
								Rv2058c
								Rv2060
								Rv2063A
								Rv2064
								Rv2065
								Rv2066
								Rv2070c
								Rv2071c
								Rv2072c
								Rv2073c
								Rv2074
								Rv2075c
								Rv2076c
								Rv2077A
								Rv2077c
								Rv2079
								Rv2082
								Rv2083
								Rv2084
								Rv2085
								Rv2086
								Rv2087
								Rv2089c
								Rv2090
								Rv2095c
								Rv2098c
								Rv2099c
								Rv2100
								Rv2105
								Rv2106
								Rv2108
								Rv2112c
								Rv2117
								Rv2118c
								Rv2120c
								Rv2122c
								Rv2123
								Rv2126c
								Rv2137c
								Rv2140c
								Rv2141c
								Rv2142c
								Rv2143
								Rv2151c
								Rv2153c
								Rv2155c
								Rv2167c
								Rv2168c
								Rv2170
								Rv2174
								Rv2175c
								Rv2177c
								Rv2179c
								Rv2180c
								Rv2181
								Rv2188c
								Rv2189c
								Rv2191
								Rv2201
								Rv2205c
								Rv2207
								Rv2208
								Rv2211c
								Rv2212
								Rv2213
								Rv2223c
								Rv2224c
								Rv2227
								Rv2228c
								Rv2229c
								Rv2230c
								Rv2231A
								Rv2231c
								Rv2232
								Rv2234
								Rv2236c
								Rv2239c
								Rv2240c
								Rv2249c
								Rv2250c
								Rv2251
								Rv2252
								Rv2253
								Rv2254c
								Rv2257c
								Rv2261c
								Rv2262c
								Rv2263
								Rv2264c
								Rv2267c
								Rv2268c
								Rv2269c
								Rv2273
								Rv2274A
								Rv2274c
								Rv2277c
								Rv2278
								Rv2279
								Rv2282c
								Rv2283
								Rv2286c
								Rv2287
								Rv2288
								Rv2292c
								Rv2294
								Rv2300c
								Rv2303c
								Rv2305
								Rv2306A
								Rv2306B
								Rv2307B
								Rv2307c
								Rv2309A
								Rv2309c
								Rv2310
								Rv2311
								Rv2312
								Rv2315c
								Rv2316
								Rv2317
								Rv2318
								Rv2319c
