L	L_Alt	L_Operon	L_Alt_Operon	SD	UTR	SD_Operon	UTR_Operon	Not assigned
Rv0013	Rv0072	Rv0042c	Rv0073	Rv0001	Rv0002	Rv0054	Rv0006	Rv0004
Rv0025	Rv0198c	Rv0043c	Rv0074	Rv0019c	Rv0003	Rv0055	Rv0007	Rv0008c
Rv0029	Rv0207c	Rv0127	Rv0075	Rv0036c	Rv0005	Rv0056	Rv0010c	Rv0009
Rv0030	Rv0490	Rv0128	Rv0491	Rv0039c	Rv0011c	Rv0057	Rv0014c	Rv0021c
Rv0038	Rv0500A	Rv0146	Rv0781	Rv0040c	Rv0012	Rv0064A	Rv0016c	Rv0022c
Rv0041	Rv0579	Rv0164	Rv1166	Rv0046c	Rv0015c	Rv0113	Rv0017c	Rv0023
Rv0044c	Rv0628c	Rv0185	Rv1560	Rv0047c	Rv0018c	Rv0168	Rv0050	Rv0024
Rv0048c	Rv0634c	Rv0186	Rv2564	Rv0053	Rv0020c	Rv0169	Rv0051	Rv0027
Rv0102	Rv0756c	Rv0200		Rv0058	Rv0026	Rv0170	Rv0084	Rv0028
Rv0118c	Rv0780	Rv0277c		Rv0060	Rv0032	Rv0171	Rv0087	Rv0031
Rv0121c	Rv0809	Rv0299		Rv0064	Rv0037c	Rv0172	Rv0088	Rv0033
Rv0126	Rv1092c	Rv0301		Rv0066c	Rv0045c	Rv0173	Rv0107c	Rv0034
Rv0133	Rv1096	Rv0334		Rv0068	Rv0049	Rv0191	Rv0139	Rv0035
Rv0134	Rv1117	Rv0382c		Rv0081	Rv0061c	Rv0192	Rv0148	Rv0052
Rv0141c	Rv1165	Rv0391		Rv0112	Rv0070c	Rv0233	Rv0176	Rv0059
Rv0145	Rv1167c	Rv0433		Rv0117	Rv0078A	Rv0241c	Rv0180c	Rv0062
Rv0157A	Rv1179c	Rv0444c		Rv0120c	Rv0079	Rv0247c	Rv0181c	Rv0063
Rv0163	Rv1340	Rv0463		Rv0125	Rv0080	Rv0285	Rv0188	Rv0065
Rv0179c	Rv1412	Rv0525		Rv0130	Rv0082	Rv0286	Rv0246	Rv0067c
Rv0183	Rv1558	Rv0526		Rv0137c	Rv0085	Rv0287	Rv0337c	Rv0069c
Rv0184	Rv1559	Rv0527		Rv0162c	Rv0091	Rv0288	Rv0410c	Rv0071
Rv0189c	Rv1597	Rv0528		Rv0166	Rv0103c	Rv0289	Rv0411c	Rv0076c
Rv0199	Rv1607	Rv0529		Rv0167	Rv0108c	Rv0290	Rv0424c	Rv0077c
Rv0204c	Rv1626	Rv0530		Rv0174	Rv0109	Rv0291	Rv0425c	Rv0078
Rv0205	Rv1636	Rv0556		Rv0178	Rv0110	Rv0292	Rv0431	Rv0083
Rv0217c	Rv1826	Rv0557		Rv0190	Rv0111	Rv0351	Rv0449c	Rv0086
Rv0220	Rv1847	Rv0587		Rv0192A	Rv0116c	Rv0459	Rv0461	Rv0089
Rv0225	Rv1924c	Rv0588		Rv0198c	Rv0129c	Rv0468	Rv0477	Rv0090
Rv0258c	Rv2199c	Rv0589		Rv0201c	Rv0138	Rv0475	Rv0487	Rv0092
Rv0262c	Rv2563	Rv0590		Rv0206c	Rv0142	Rv0510	Rv0497	Rv0093c
Rv0265c	Rv2642	Rv0595c		Rv0211	Rv0147	Rv0512	Rv0504c	Rv0094c
Rv0270	Rv2707	Rv0597c		Rv0232	Rv0149	Rv0513	Rv0541c	Rv0095c
Rv0277A	Rv2773c	Rv0598c		Rv0238	Rv0150c	Rv0514	Rv0542c	Rv0096
Rv0281	Rv2802c	Rv0617		Rv0242c	Rv0154c	Rv0565c	Rv0543c	Rv0097
Rv0295c	Rv2935	Rv0624		Rv0243	Rv0158	Rv0570	Rv0544c	Rv0098
Rv0298	Rv3057c	Rv0627		Rv0244c	Rv0165c	Rv0652	Rv0547c	Rv0099
Rv0300	Rv3208	Rv0636		Rv0248c	Rv0175	Rv0664	Rv0554	Rv0100
Rv0307c	Rv3304	Rv0637		Rv0249c	Rv0177	Rv0668	Rv0577	Rv0101
Rv0308	Rv3409c	Rv0743c		Rv0250c	Rv0182c	Rv0679c	Rv0640	Rv0104
Rv0309	Rv3647c	Rv0808		Rv0273c	Rv0186A	Rv0687	Rv0659c	Rv0105c
Rv0311	Rv3694c	Rv0906		Rv0274	Rv0187	Rv0688	Rv0683	Rv0106
Rv0321	Rv3732	Rv0907		Rv0276	Rv0195	Rv0710	Rv0684	Rv0114
Rv0328	Rv3778c	Rv0913c		Rv0282	Rv0202c	Rv0715	Rv0693	Rv0115
Rv0333	Rv3797	Rv0934		Rv0284	Rv0209	Rv0716	Rv0694	Rv0119
Rv0359	Rv3821	Rv0935		Rv0296c	Rv0212c	Rv0717	Rv0695	Rv0122
Rv0364	Rv3855	Rv0939		Rv0297	Rv0216	Rv0718	Rv0696	Rv0123
Rv0377	Rv3857c	Rv0957		Rv0302	Rv0231	Rv0733	Rv0705	Rv0124
Rv0379		Rv0994		Rv0313	Rv0236A	Rv0734	Rv0706	Rv0131c
Rv0383c		Rv0995		Rv0319	Rv0236c	Rv0814c	Rv0707	Rv0132c
Rv0385		Rv1021		Rv0331	Rv0237	Rv0860	Rv0708	Rv0135c
Rv0390		Rv1041c		Rv0340	Rv0239	Rv0867c	Rv0721	Rv0136
Rv0394c		Rv1097c		Rv0341	Rv0240	Rv0868c	Rv0722	Rv0140
Rv0400c		Rv1098c		Rv0345	Rv0245	Rv0869c	Rv0723	Rv0143c
Rv0407		Rv1108c		Rv0350	Rv0256c	Rv0886	Rv0751c	Rv0144
Rv0418		Rv1175c		Rv0358	Rv0268c	Rv0900	Rv0752c	Rv0151c
Rv0427c		Rv1210		Rv0363c	Rv0271c	Rv0901	Rv0759c	Rv0152c
Rv0429c		Rv1235		Rv0367c	Rv0272c	Rv0955	Rv0760c	Rv0153c
Rv0432		Rv1246c		Rv0384c	Rv0275c	Rv1066	Rv0778	Rv0155
Rv0439c		Rv1293		Rv0388c	Rv0280	Rv1079	Rv0820	Rv0156
Rv0441c		Rv1306		Rv0389	Rv0283	Rv1106c	Rv0857	Rv0157
Rv0443		Rv1316c		Rv0415	Rv0293c	Rv1122	Rv0910	Rv0159c
Rv0445c		Rv1332		Rv0423c	Rv0305c	Rv1126c	Rv0911	Rv0160c
Rv0455c		Rv1333		Rv0458	Rv0312	Rv1162	Rv0940c	Rv0161
Rv0456c		Rv1334		Rv0467	Rv0314c	Rv1164	Rv0947c	Rv0193c
Rv0462		Rv1335		Rv0474	Rv0317c	Rv1168c	Rv0952	Rv0194
Rv0465c		Rv1336		Rv0509	Rv0336	Rv1178	Rv0968	Rv0196
Rv0471c		Rv1342c		Rv0511	Rv0338c	Rv1181	Rv0970	Rv0197
Rv0473		Rv1351		Rv0516c	Rv0339c	Rv1182	Rv0984	Rv0203
Rv0479c		Rv1393c		Rv0517	Rv0342	Rv1196	Rv1010	Rv0208c
Rv0489		Rv1410c		Rv0518	Rv0343	Rv1216c	Rv1012	Rv0210
Rv0501		Rv1421		Rv0533c	Rv0346c	Rv1223	Rv1014c	Rv0213c
Rv0503c		Rv1484		Rv0538	Rv0349	Rv1224	Rv1016c	Rv0214
Rv0524		Rv1488		Rv0566c	Rv0352	Rv1229c	Rv1056	Rv0215c
Rv0531		Rv1489A		Rv0569	Rv0353	Rv1269c	Rv1083	Rv0218
Rv0546c		Rv1534		Rv0579	Rv0355c	Rv1275	Rv1157c	Rv0219
Rv0551c		Rv1540		Rv0583c	Rv0361	Rv1285	Rv1257c	Rv0221
Rv0555		Rv1610		Rv0638	Rv0392c	Rv1286	Rv1271c	Rv0222
Rv0558		Rv1618		Rv0641	Rv0404	Rv1295	Rv1308	Rv0223c
Rv0559c		Rv1624c		Rv0643c	Rv0412c	Rv1300	Rv1309	Rv0224c
Rv0562		Rv1627c		Rv0651	Rv0419	Rv1302	Rv1310	Rv0226c
Rv0568		Rv1698		Rv0654	Rv0426c	Rv1304	Rv1311	Rv0227c
Rv0571c		Rv1821		Rv0657c	Rv0430	Rv1391	Rv1312	Rv0228
Rv0580c		Rv1838c		Rv0663	Rv0435c	Rv1463	Rv1322	Rv0229c
Rv0586		Rv1861		Rv0667	Rv0442c	Rv1464	Rv1326c	Rv0230c
Rv0596c		Rv1899c		Rv0680c	Rv0446c	Rv1465	Rv1339	Rv0234c
Rv0599c		Rv1905c		Rv0685	Rv0450c	Rv1466	Rv1362c	Rv0235c
Rv0613c		Rv1908c		Rv0686	Rv0451c	Rv1472	Rv1363c	Rv0251c
Rv0616A		Rv1959c		Rv0700	Rv0456A	Rv1478	Rv1376	Rv0252
Rv0623		Rv1982c		Rv0709	Rv0460	Rv1493	Rv1380	Rv0253
Rv0625c		Rv1991c		Rv0714	Rv0464c	Rv1512	Rv1381	Rv0254c
Rv0626		Rv1992c		Rv0719	Rv0466	Rv1513	Rv1382	Rv0255c
Rv0632c		Rv1993c		Rv0732	Rv0469	Rv1544	Rv1383	Rv0257
Rv0633c		Rv2096c		Rv0735	Rv0470c	Rv1545	Rv1384	Rv0259c
Rv0635		Rv2103c		Rv0747	Rv0472c	Rv1595	Rv1396c	Rv0260c
Rv0658c		Rv2133c		Rv0749A	Rv0476	Rv1596	Rv1417	Rv0261c
Rv0670		Rv2221c		Rv0755c	Rv0478	Rv1612	Rv1423	Rv0263c
Rv0671		Rv2260		Rv0758	Rv0484c	Rv1613	Rv1438	Rv0264c
Rv0672		Rv2296		Rv0794c	Rv0485	Rv1614	Rv1444c	Rv0266c
Rv0678		Rv2302		Rv0810c	Rv0486	Rv1683	Rv1445c	Rv0267
Rv0712		Rv2361c		Rv0815c	Rv0496	Rv1708	Rv1446c	Rv0269c
Rv0744c		Rv2494		Rv0822c	Rv0500	Rv1770	Rv1447c	Rv0278c
Rv0748		Rv2532c		Rv0824c	Rv0500B	Rv1771	Rv1448c	Rv0279c
Rv0750		Rv2533c		Rv0825c	Rv0502	Rv1783	Rv1481	Rv0294
Rv0757		Rv2534c		Rv0830	Rv0505c	Rv1784	Rv1509	Rv0303
Rv0767c		Rv2537c		Rv0832	Rv0506	Rv1792	Rv1520	Rv0304c
Rv0801		Rv2538c		Rv0846c	Rv0515	Rv1807	Rv1521	Rv0306
Rv0807		Rv2539c		Rv0847	Rv0522	Rv1816	Rv1576c	Rv0310c
Rv0811c		Rv2562		Rv0859	Rv0523c	Rv1828	Rv1590	Rv0315
Rv0821c		Rv2580c		Rv0864	Rv0535	Rv1836c	Rv1591	Rv0316
Rv0827c		Rv2596		Rv0870c	Rv0537c	Rv1845c	Rv1600	Rv0318c
Rv0831c		Rv2602		Rv0871	Rv0545c	Rv1875	Rv1601	Rv0320
Rv0838		Rv2638		Rv0872c	Rv0548c	Rv1877	Rv1602	Rv0322
Rv0851c		Rv2675c		Rv0873	Rv0549c	Rv1884c	Rv1603	Rv0323c
Rv0853c		Rv2752c		Rv0877	Rv0553	Rv1885c	Rv1604	Rv0324
Rv0854		Rv2872		Rv0883c	Rv0560c	Rv1892	Rv1605	Rv0325
Rv0862c		Rv2902c		Rv0885	Rv0563	Rv1893	Rv1606	Rv0326
Rv0884c		Rv2957		Rv0888	Rv0572c	Rv2019	Rv1634	Rv0327c
Rv0889c		Rv2976c		Rv0896	Rv0574c	Rv2022c	Rv1643	Rv0329c
Rv0893c		Rv2978c		Rv0899	Rv0575c	Rv2092c	Rv1644	Rv0330c
Rv0898c		Rv2995c		Rv0916c	Rv0576	Rv2093c	Rv1679	Rv0332
Rv0905		Rv3024c		Rv0928	Rv0578c	Rv2102	Rv1680	Rv0335c
Rv0914c		Rv3031		Rv0931c	Rv0584	Rv2109c	Rv1692	Rv0344c
Rv0933		Rv3036c		Rv0932c	Rv0610c	Rv2148c	Rv1712	Rv0347
Rv0938		Rv3084		Rv0954	Rv0612	Rv2149c	Rv1798	Rv0348
Rv0946c		Rv3085		Rv0977	Rv0621	Rv2152c	Rv1825	Rv0354c
Rv0949		Rv3096		Rv0979A	Rv0634B	Rv2184c	Rv1841c	Rv0356c
Rv0956		Rv3215		Rv0991c	Rv0639	Rv2195	Rv1880c	Rv0357c
Rv0958		Rv3224A		Rv0996	Rv0642c	Rv2196	Rv1881c	Rv0360c
Rv0959A		Rv3224B		Rv1013	Rv0644c	Rv2216	Rv1916	Rv0362
Rv0981		Rv3225c		Rv1015c	Rv0655	Rv2217	Rv1953	Rv0365c
Rv0993		Rv3236c		Rv1018c	Rv0660c	Rv2242	Rv1955	Rv0366c
Rv1001		Rv3264c		Rv1052	Rv0676c	Rv2335	Rv1956	Rv0368c
Rv1020		Rv3265c		Rv1065	Rv0677c	Rv2398c	Rv1957	Rv0369c
Rv1033c		Rv3268		Rv1072	Rv0682	Rv2399c	Rv2003c	Rv0370c
Rv1036c		Rv3281		Rv1078	Rv0690c	Rv2429	Rv2027c	Rv0371c
Rv1042c		Rv3282		Rv1080c	Rv0692	Rv2441c	Rv2028c	Rv0372c
Rv1049		Rv3288c		Rv1087	Rv0698	Rv2454c	Rv2135c	Rv0373c
Rv1061		Rv3289c		Rv1095	Rv0701	Rv2475c	Rv2156c	Rv0374c
Rv1077		Rv3305c		Rv1107c	Rv0702	Rv2498c	Rv2157c	Rv0375c
Rv1086		Rv3320c		Rv1113	Rv0703	Rv2499c	Rv2159c	Rv0376c
Rv1094		Rv3331		Rv1121	Rv0704	Rv2500c	Rv2160c	Rv0378
Rv1099c		Rv3335c		Rv1127c	Rv0711	Rv2502c	Rv2163c	Rv0380c
Rv1104		Rv3355c		Rv1133c	Rv0713	Rv2503c	Rv2164c	Rv0381c
Rv1109c		Rv3465		Rv1135c	Rv0720	Rv2504c	Rv2197c	Rv0386
Rv1110		Rv3490		Rv1139c	Rv0724	Rv2517c	Rv2246	Rv0387c
Rv1111c		Rv3509c		Rv1143	Rv0725c	Rv2523c	Rv2247	Rv0393
Rv1124		Rv3678c		Rv1161	Rv0741	Rv2585c	Rv2248	Rv0395
Rv1141c		Rv3684		Rv1163	Rv0753c	Rv2586c	Rv2272	Rv0396
Rv1142c		Rv3697c		Rv1169c	Rv0755A	Rv2587c	Rv2276	Rv0397
Rv1149		Rv3733c		Rv1172c	Rv0761c	Rv2591	Rv2281	Rv0398c
Rv1151c		Rv3748		Rv1173	Rv0775	Rv2625c	Rv2307A	Rv0399c
Rv1152		Rv3756c		Rv1174c	Rv0777	Rv2686c	Rv2373c	Rv0401
Rv1155		Rv3758c		Rv1177	Rv0782	Rv2687c	Rv2389c	Rv0402c
Rv1156		Rv3806c		Rv1180	Rv0786c	Rv2692	Rv2392	Rv0403c
Rv1159A		Rv3807c		Rv1195	Rv0792c	Rv2750	Rv2393	Rv0405
Rv1176c		Rv3808c		Rv1197	Rv0797	Rv2751	Rv2394	Rv0406c
Rv1185c		Rv3814c		Rv1199c	Rv0803	Rv2784c	Rv2409c	Rv0408
Rv1187		Rv3815c		Rv1208	Rv0805	Rv2789c	Rv2410c	Rv0409
Rv1194c		Rv3837c		Rv1217c	Rv0812	Rv2790c	Rv2418c	Rv0413
Rv1202		Rv3870		Rv1218c	Rv0813c	Rv2791c	Rv2419c	Rv0414c
Rv1207		Rv3871		Rv1222	Rv0818	Rv2821c	Rv2420c	Rv0416
Rv1209		Rv3887c		Rv1230c	Rv0819	Rv2822c	Rv2430c	Rv0417
Rv1213				Rv1239c	Rv0823c	Rv2823c	Rv2456c	Rv0420c
Rv1219c				Rv1240	Rv0826	Rv2824c	Rv2460c	Rv0421c
Rv1221				Rv1245c	Rv0833	Rv2836c	Rv2472	Rv0422c
Rv1232c				Rv1249c	Rv0835	Rv2837c	Rv2483c	Rv0428c
Rv1233c				Rv1266c	Rv0839	Rv2838c	Rv2496c	Rv0434
Rv1234				Rv1270c	Rv0844c	Rv2854	Rv2552c	Rv0436c
Rv1241				Rv1274	Rv0856	Rv2857c	Rv2553c	Rv0437c
Rv1247c				Rv1284	Rv0861c	Rv2858c	Rv2554c	Rv0438c
Rv1253				Rv1291c	Rv0876c	Rv2881c	Rv2555c	Rv0440
Rv1261c				Rv1294	Rv0880	Rv2907c	Rv2593c	Rv0447c
Rv1262c				Rv1297	Rv0890c	Rv2908c	Rv2619c	Rv0448c
Rv1273c				Rv1299	Rv0891c	Rv2925c	Rv2620c	Rv0452
Rv1287				Rv1301	Rv0892	Rv2926c	Rv2650c	Rv0453
Rv1292				Rv1303	Rv0894	Rv2937	Rv2763c	Rv0454
Rv1305				Rv1313c	Rv0909	Rv2938	Rv2771c	Rv0456B
Rv1314c				Rv1325c	Rv0919	Rv2939	Rv2781c	Rv0457c
Rv1315				Rv1328	Rv0920c	Rv3042c	Rv2782c	Rv0470A
Rv1317c				Rv1337	Rv0921	Rv3060c	Rv2826c	Rv0480c
Rv1318c				Rv1341	Rv0922	Rv3066	Rv2829c	Rv0481c
Rv1319c				Rv1348	Rv0937c	Rv3070	Rv2849c	Rv0482
Rv1320c				Rv1352	Rv0941c	Rv3087	Rv2878c	Rv0483
Rv1322A				Rv1361c	Rv0945	Rv3088	Rv2899c	Rv0488
Rv1324				Rv1365c	Rv0948c	Rv3089	Rv2900c	Rv0492A
Rv1331				Rv1368	Rv0950c	Rv3138	Rv2931	Rv0492c
Rv1343c				Rv1390	Rv0951	Rv3152	Rv2932	Rv0493c
Rv1347c				Rv1392	Rv0967	Rv3153	Rv2933	Rv0494
Rv1350				Rv1403c	Rv0969	Rv3154	Rv2934	Rv0495c
Rv1354c				Rv1405c	Rv0982	Rv3155	Rv2945c	Rv0498
Rv1377c				Rv1428c	Rv0983	Rv3156	Rv2946c	Rv0499
Rv1389				Rv1430	Rv0997	Rv3157	Rv2947c	Rv0507
Rv1394c				Rv1435c	Rv1002c	Rv3158	Rv2948c	Rv0508
Rv1398c				Rv1436	Rv1006	Rv3222c	Rv2987c	Rv0519c
Rv1399c				Rv1451	Rv1009	Rv3243c	Rv2992c	Rv0520
Rv1400c				Rv1458c	Rv1011	Rv3244c	Rv3001c	Rv0521
Rv1406				Rv1462	Rv1017c	Rv3250c	Rv3002c	Rv0532
Rv1411c				Rv1468c	Rv1019	Rv3251c	Rv3027c	Rv0534c
Rv1418				Rv1469	Rv1031	Rv3255c	Rv3028c	Rv0536
Rv1419				Rv1470	Rv1035c	Rv3256c	Rv3047c	Rv0539
Rv1420				Rv1473	Rv1043c	Rv3270	Rv3101c	Rv0540
Rv1425				Rv1476	Rv1046c	Rv3317	Rv3103c	Rv0550c
Rv1440				Rv1477	Rv1054	Rv3318	Rv3136	Rv0552
Rv1454c				Rv1479	Rv1055	Rv3319	Rv3140	Rv0561c
Rv1483				Rv1492	Rv1069c	Rv3442c	Rv3206c	Rv0564c
Rv1486c				Rv1498A	Rv1073	Rv3458c	Rv3212	Rv0567
Rv1487				Rv1505c	Rv1074c	Rv3459c	Rv3220c	Rv0573c
Rv1489				Rv1507c	Rv1075c	Rv3479	Rv3221A	Rv0581
Rv1491c				Rv1511	Rv1081c	Rv3497c	Rv3246c	Rv0582
Rv1497				Rv1535	Rv1082	Rv3498c	Rv3273	Rv0585c
Rv1522c				Rv1543	Rv1085c	Rv3500c	Rv3285	Rv0590A
Rv1532c				Rv1557	Rv1089A	Rv3626c	Rv3341	Rv0591
Rv1533				Rv1566c	Rv1093	Rv3641c	Rv3342	Rv0592
Rv1539				Rv1578c	Rv1102c	Rv3671c	Rv3401	Rv0593
Rv1546				Rv1584c	Rv1116A	Rv3685c	Rv3403c	Rv0594
Rv1547				Rv1592c	Rv1140	Rv3701c	Rv3410c	Rv0600c
Rv1564c				Rv1594	Rv1150	Rv3702c	Rv3420c	Rv0601c
Rv1565c				Rv1598c	Rv1158c	Rv3703c	Rv3421c	Rv0602c
Rv1588c				Rv1611	Rv1171	Rv3715c	Rv3422c	Rv0603
Rv1593c				Rv1623c	Rv1183	Rv3740c	Rv3461c	Rv0604
Rv1608c				Rv1641	Rv1184c	Rv3741c	Rv3523	Rv0605
Rv1609				Rv1646	Rv1198	Rv3819	Rv3524	Rv0606
Rv1617				Rv1660	Rv1200	Rv3849	Rv3556c	Rv0607
Rv1625c				Rv1670	Rv1204c	Rv3853	Rv3566A	Rv0608
Rv1628c				Rv1672c	Rv1211	Rv3873	Rv3567c	Rv0609
Rv1629				Rv1682	Rv1215c	Rv3876	Rv3568c	Rv0609A
Rv1668c				Rv1699	Rv1220c	Rv3877	Rv3569c	Rv0611c
Rv1693				Rv1704c	Rv1227c	Rv3890c	Rv3595c	Rv0614
Rv1697				Rv1705c	Rv1244	Rv3896c	Rv3598c	Rv0615
Rv1721c				Rv1707	Rv1248c	Rv3897c	Rv3599c	Rv0616c
Rv1732c				Rv1710	Rv1252c	Rv3917c	Rv3600c	Rv0618
Rv1740				Rv1731	Rv1258c		Rv3601c	Rv0619
Rv1746				Rv1736c	Rv1260		Rv3602c	Rv0620
Rv1747				Rv1738	Rv1272c		Rv3605c	Rv0622
Rv1765c				Rv1743	Rv1280c		Rv3606c	Rv0629c
Rv1767				Rv1745c	Rv1290c		Rv3607c	Rv0630c
Rv1780				Rv1753c	Rv1298		Rv3608c	Rv0631c
Rv1820				Rv1762c	Rv1307		Rv3609c	Rv0634A
Rv1822				Rv1768	Rv1321		Rv3612c	Rv0645c
Rv1839c				Rv1769	Rv1323		Rv3613c	Rv0646c
Rv1855c				Rv1772	Rv1327c		Rv3680	Rv0647c
Rv1860				Rv1775	Rv1338		Rv3706c	Rv0648
Rv1863c				Rv1782	Rv1345		Rv3725	Rv0649
Rv1867				Rv1789	Rv1346		Rv3770B	Rv0650
Rv1872c				Rv1791	Rv1360		Rv3770c	Rv0653c
Rv1898				Rv1793	Rv1364c		Rv3775	Rv0656c
