NCBI GeneID	Symbol	Description	Taxonomic Name	Gene Type	Gene Group Identifier	Gene Group Method
886672	uvrC	excinuclease ABC subunit UvrC	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886684	PPE2	PPE family protein PPE2	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887208	Rv1739c	sulfate ABC transporter permease	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887269	kasA	3-oxoacyl-ACP synthase 1	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887381	fabH	3-oxoacyl-ACP synthase III	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887410	ung	uracil-DNA glycosylase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887529	menB	1,4-dihydroxy-2-naphthoyl-CoA synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887688	ruvA	Holliday junction ATP-dependent DNA helicase RuvA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888137	otsB2	trehalose 6-phosphate phosphatase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888169	lexA	repressor LexA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888352	ilvE	branched-chain amino acid aminotransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888383	glnA1	glutamine synthetase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885326	Rv0805	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886895	glgE	alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887642	pknI	serine/threonine-protein kinase PknI	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887800	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887012	Rv0081	HTH-type transcriptional regulator	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886300	lpdC	dihydrolipoamide dehydrogenase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886885	fbpC	diacylglycerol acyltransferase/mycolyltransferase Ag85C	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885485	Rv0948c	chorismate mutase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888576	hrp1	hypoxic response protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888775	phoR	two component system response sensor kinase PhoR	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885808	nadE	glutamine-dependent NAD(+) synthetase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887327	papA5	phthiocerol/phthiodiolone dimycocerosyl transferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885634	mazF6	mRNA interferase MazF6	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887988	sapM	acid phosphatase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886338	bioD	ATP-dependent dethiobiotin synthetase BioD	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886744	pckA	phosphoenolpyruvate carboxykinase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887084	Rv1248c	multifunctional 2-oxoglutarate dehydrogenase E1 component /2-oxoglutarate dehydrogenase dihydrolipoyllysine-residue succinyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888013	icd1	isocitrate dehydrogenase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888177	rpoC	DNA-directed RNA polymerase subunit beta'	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885944	mce3A	Mce family protein Mce3A	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887477	sigA	RNA polymerase sigma factor SigA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885713	glcB	malate synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886604	esxG	ESAT-6 like protein EsxG	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888580	sigB	RNA polymerase sigma factor SigB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886073	PPE18	PPE family protein PPE18	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
